Temp,SpO2,SYS,DIA,Heart_rate,Anomaly
28.9,0,0,0,0,FALSE
28.9,0,0,0,78,FALSE
28.9,89,0,0,78,FALSE
28.9,89,0,0,79,FALSE
28.9,89,0,0,79,FALSE
28.9,91,0,0,79,FALSE
28.9,91,0,0,82,FALSE
28.9,91,0,0,82,FALSE
28.9,91,0,0,91,FALSE
28.9,91,0,0,91,FALSE
28.8,91,0,0,91,FALSE
28.8,91,0,0,100,FALSE
28.8,92,0,0,100,FALSE
28.9,92,0,0,100,FALSE
28.9,91,0,0,100,FALSE
28.9,91,0,0,100,FALSE
28.9,92,0,0,100,FALSE
28.9,92,0,0,96,FALSE
28.9,93,0,0,96,FALSE
28.9,94,0,0,96,FALSE
28.9,94,0,0,89,FALSE
28.9,94,0,0,87,FALSE
28.9,94,0,0,86,FALSE
28.9,94,0,0,88,FALSE
28.9,95,0,0,88,FALSE
28.9,95,0,0,91,FALSE
28.9,96,0,0,91,FALSE
28.9,96,0,0,95,FALSE
28.9,97,0,0,95,FALSE
28.9,97,0,0,95,FALSE
28.9,97,0,0,95,FALSE
28.9,98,0,0,95,FALSE
28.9,98,0,0,95,FALSE
28.9,98,0,0,89,FALSE
28.9,98,0,0,89,FALSE
28.9,98,0,0,84,FALSE
28.9,98,138,78,84,FALSE
28.9,99,138,78,84,FALSE
28.9,99,138,78,84,FALSE
28.9,99,138,78,84,FALSE
28.9,98,138,78,84,FALSE
28.9,98,138,78,87,FALSE
28.9,96,138,78,87,FALSE
28.8,96,138,78,87,FALSE
28.8,96,138,78,87,FALSE
28.8,96,138,78,87,FALSE
28.8,95,138,78,87,FALSE
28.8,95,138,78,84,FALSE
28.8,95,138,78,84,FALSE
28.8,95,138,78,79,FALSE
28.8,94,138,78,79,FALSE
28.8,94,138,78,79,FALSE
28.8,93,138,78,79,FALSE
28.8,93,138,78,79,FALSE
28.8,93,138,78,81,FALSE
28.8,92,138,78,81,FALSE
28.8,92,138,78,83,FALSE
28.9,92,138,78,83,FALSE
28.9,92,138,78,83,FALSE
28.8,92,138,78,83,FALSE
28.8,92,138,78,83,FALSE
28.8,92,138,78,84,FALSE
28.9,92,138,78,84,FALSE
28.9,93,138,78,84,FALSE
28.9,94,138,78,84,FALSE
28.9,94,138,78,84,FALSE
28.9,95,138,78,84,FALSE
28.8,95,138,78,84,FALSE
28.8,95,138,78,85,FALSE
28.8,96,138,78,85,FALSE
28.8,96,138,78,85,FALSE
28.8,96,138,78,85,FALSE
28.8,97,138,78,85,FALSE
28.8,97,138,78,85,FALSE
28.8,97,138,78,85,FALSE
28.8,98,138,78,85,FALSE
28.8,98,138,78,88,FALSE
28.8,98,138,78,88,FALSE
28.8,98,138,78,87,FALSE
28.9,98,138,78,87,FALSE
28.9,98,138,78,80,FALSE
28.9,98,138,78,80,FALSE
28.8,98,138,78,80,FALSE
28.8,98,138,78,80,FALSE
28.8,97,138,78,80,FALSE
28.8,97,138,78,77,FALSE
28.8,98,138,78,77,FALSE
28.8,98,138,78,74,FALSE
28.8,98,138,78,74,FALSE
28.7,98,138,78,74,FALSE
28.7,98,138,78,74,FALSE
28.7,98,138,78,82,FALSE
28.7,98,138,78,82,FALSE
28.7,97,138,78,82,FALSE
28.7,97,138,78,82,FALSE
28.7,97,138,78,82,FALSE
28.7,96,138,78,82,FALSE
28.7,96,138,78,86,FALSE
28.7,96,138,78,86,FALSE
28.6,96,138,78,86,FALSE
28.6,96,138,78,89,FALSE
28.6,97,138,78,89,FALSE
28.6,97,138,78,87,FALSE
28.6,97,138,78,87,FALSE
28.6,97,138,78,90,FALSE
28.9,97,138,78,90,TRUE
28.3,98,138,78,90,TRUE
